器械科管理员	 器械科操作员	 二级科室操作员	        主菜单				子菜单				负责人
    √			√			        √				首页
    √			√					√				采购管理				采购管理				穆传波
    √			×					×				采购管理				采购审核				穆传波
    √			×					×				采购管理				采购订单				穆传波
    √			√					√				入库管理				耗材入库				姜晓重
    √			√					×				入库管理				新增入库按钮		    姜晓重
    √			×					×				入库管理				入库审核				姜晓重
    √			√					√				出库管理				耗材出库				姜晓重
    √			×					√				出库管理				出库审核				姜晓重
    ×			×					√				调拨管理				耗材调拨				穆传波
    ×			×					√				调拨管理				调拨审核				穆传波
    ×			×					√				领用管理				领用管理				穆传波
    √			√					×				领用管理				领用审核				穆传波
    √			√					×				退货管理				退货管理				姜晓重
    √			√					×				退货管理				新增退货按钮		    姜晓重
    ×			×					√				器械使用				器械使用				张晓晗
    √			√					√				库存管理				库存管理				穆传波
    √			√					√				库存管理				打包记录    	        姜晓重
    √			√					√				库存管理				盘点管理				穆传波
    √			√					√				库存管理				院内物流追溯		    张晓晗
    √			√					√				库存管理				库存巡查				姜晓重
    √			√                  √				统计查询				入库管理				姜晓重
    √			√                  √				统计查询				出库管理				姜晓重
    √			√                  √				统计查询				调入管理				穆传波
    √			√                  √				统计查询				用量明细				张晓晗
    √			√                  √				统计查询				用量退回				张晓晗
    √			√                  √				统计查询				院内退货明细		    姜晓重
    √			√                  √				统计查询				院外退货明细		    姜晓重
    √			√                  √				统计查询				库存查询				穆传波
    √			√			        √	            统计查询            进销存报表
    √			√			        ×				基础信息				产品管理				张晓晗
    √			√                  ×				基础信息				试剂管理				张晓晗
    √			√                  ×				基础信息				提醒时间配置		    张晓晗
    √			√                  ×				基础信息				分类管理				张晓晗
    √			√                  ×				基础信息				单位管理				张晓晗
    √			√                  ×				基础信息				组别管理				张晓晗
    √			√                  ×				基础信息				供应商管理			张晓晗
    √			√                  ×				基础信息				生产厂家管理		    张晓晗
    √			√                  ×				基础信息				编码规则管理		    张晓晗
    √			√                  √				基础信息				检验配置管理		    张晓晗
    √			√                  √				基础信息				套包管理			姜晓重
    √			√                  √				基础信息				货位管理				姜晓重
    √			√                  ×				系统管理				部门管理				张晓晗
    √			√                  ×				系统管理				用户管理				张晓晗
    √			√                  √				系统管理				我的消息				张晓晗
    √			√                  ×				系统管理				系统通告				张晓晗
    √			√                  √				大屏报表				智慧物流监控
    √			√                  √				大屏报表				生产销售监控
	
